cohort_year,n_cells,n_cells_treated_before_panel_start,share_of_all_cells
1938,18,18,0.0011933174224343676
1939,4,4,0.00026518164942985947
1941,6,6,0.0003977724741447892
1943,17,17,0.0011270220100769027
1945,2,2,0.00013259082471492973
1946,29,29,0.0019225669583664811
1960,1,1,6.629541235746487e-05
1971,32,32,0.0021214531954388757
1973,5,5,0.00033147706178732433
1974,32,32,0.0021214531954388757
1975,27,27,0.0017899761336515514
1976,12,12,0.0007955449482895784
1977,521,521,0.034539909838239194
1978,24,24,0.0015910898965791568
1979,104,104,0.006894722885176346
1980,4,4,0.00026518164942985947
1981,5,5,0.00033147706178732433
1982,24,24,0.0015910898965791568
1983,20,20,0.0013259082471492973
1984,99,99,0.0065632458233890216
1985,28,28,0.0018562715460090163
1986,5,5,0.00033147706178732433
1987,138,138,0.009148766905330152
1988,110,110,0.007292495359321135
1989,945,945,0.06264916467780429
1990,2,2,0.00013259082471492973
1991,1,1,6.629541235746487e-05
1992,18,18,0.0011933174224343676
1993,16,16,0.0010607265977194379
1995,12,12,0.0007955449482895784
1996,13,13,0.0008618403606470433
1997,6,6,0.0003977724741447892
1998,20,20,0.0013259082471492973
1999,18,18,0.0011933174224343676
2000,10,10,0.0006629541235746487
2001,9,0,0.0005966587112171838
2002,181,0,0.01199946963670114
2003,9,0,0.0005966587112171838
2004,4,0,0.00026518164942985947
2005,63,0,0.004176610978520286
2006,40,0,0.0026518164942985947
2007,89,0,0.0059002916998143725
2008,101,0,0.006695836648103951
2009,269,0,0.01783346592415805
2010,41,0,0.0027181119066560593
2011,276,0,0.018297533810660304
2012,40,0,0.0026518164942985947
2013,61,0,0.004044020153805357
2014,16,0,0.0010607265977194379
2018,438,0,0.02903739061256961
2020,471,0,0.03122513922036595
2021,99,0,0.0065632458233890216
2024,352,0,0.023335985149827633
2025,110,0,0.007292495359321135
