support_name,support_type,n_directed_edges,n_undirected_pairs,mean_neighbors,median_neighbors,max_neighbors,share_cells_with_neighbors,distance_km_min,distance_km_p50,distance_km_mean,distance_km_p95,distance_km_max
invdist_knn_k08_p1p0,inverse_distance,120672,,8.0,8.0,8,1.0,7.718902420067228,12.651663081892567,11.061155537645478,12.79584011262562,357.17305010272196
invdist_knn_k16_p1p0,inverse_distance,241344,,16.0,16.0,16,1.0,7.718902420067228,15.437804840141908,15.006855226220395,20.406338603843906,672.1973970739791
knn_k04,knn,60336,,4.0,4.0,4,1.0,7.718902420067228,10.02280046879046,9.060187691454116,10.20540726806142,352.5104355324275
knn_k08,knn,120672,,8.0,8.0,8,1.0,7.718902420067228,12.651663081892567,11.061155537645478,12.79584011262562,357.17305010272196
knn_k16,knn,241344,,16.0,16.0,16,1.0,7.718902420067228,15.437804840141908,15.006855226220395,20.406338603843906,672.1973970739791
radius_25km,radius,321292,160646.0,21.3001856271546,22.0,22,0.9999337045876425,7.718902420067228,18.472149130529644,16.575271182160876,23.156707260214723,23.15670726021938
radius_50km,radius,1361850,680925.0,90.28440731901352,96.0,96,1.0,7.718902420067228,34.161829350711145,32.9098210200851,47.423659211887134,49.997708639320216
ring_0_25km,ring,321292,160646.0,21.3001856271546,22.0,22,0.9999337045876425,7.718902420067228,18.472149130529644,16.575271182160876,23.156707260214723,23.15670726021938
ring_25_50km,ring,1040558,520279.0,68.98422169185892,74.0,74,0.9996685229382126,25.213147613740123,38.59451210035756,37.953422805402546,49.017908639676946,49.997708639320216
